Field,Type,Null,Key,Default,Extra
id,bigint unsigned,NO,PRI,,auto_increment
rno,int,NO,"",,""
g,varchar(1),NO,"","",""
refname,varchar(100),NO,MUL,"",""
y,int,YES,"",,""
m,int,YES,"",,""
rl,int,YES,"",,""
cst,varchar(100),NO,"","",""
hg,int,YES,"",,""
hghtft,varchar(20),YES,"",,""
wt,varchar(3),NO,"","",""
eh,varchar(2),NO,"","",""
ast,varchar(2),NO,"","",""
ed,varchar(2),NO,"","",""
oc,varchar(4),NO,"","",""
pi,int,YES,"",,""
rs,varchar(10),NO,"","",""
ms,varchar(10),NO,"","",""
ch,varchar(50),NO,"","",""
fi,int,YES,"",,""
tc,int,YES,MUL,,""
mc,int,YES,"",,""
rm,int,YES,MUL,,""
p_sent,int,YES,MUL,,""
last_mail,date,YES,"",,""
last_call,date,YES,"",,""
last_mtng,date,YES,"",,""
dtype,varchar(1),NO,MUL,"",""
status,varchar(1),NO,MUL,"",""
ost,varchar(3),NO,MUL,"",""
vc,int,NO,MUL,"0",""
op,int,NO,MUL,"0",""
st,varchar(2),NO,MUL,"",""
created_at,timestamp,YES,"",,""
updated_at,timestamp,YES,"",,""
